Time,Channel A
(s),(mV)

10.14100048,-174.38890000
10.14200048,-174.38890000
10.14300048,-169.01150000
10.14400048,-170.80600000
10.14500048,-170.80600000
10.14600048,-170.80600000
10.14700048,-169.01150000
10.14800048,-169.01150000
10.14900048,-174.38890000
10.15000048,-174.38890000
10.15100048,-170.80600000
10.15200048,-170.80600000
10.15300048,-172.60050000
10.15400048,-174.38890000
10.15500048,-170.80600000
10.15600048,-170.80600000
10.15700048,-170.80600000
10.15800048,-170.80600000
10.15900048,-169.01150000
10.16000048,-170.80600000
10.16100048,-170.80600000
10.16200048,-172.60050000
10.16300048,-169.01150000
10.16400048,-172.60050000
10.16500048,-170.80600000
10.16600048,-170.80600000
10.16700048,-172.60050000
10.16800048,-172.60050000
10.16900048,-169.01150000
10.17000048,-170.80600000
10.17100048,-170.80600000
10.17200048,-172.60050000
10.17300048,-169.01150000
10.17400048,-170.80600000
10.17500048,-170.80600000
10.17600048,-172.60050000
10.17700048,-170.80600000
10.17800048,-170.80600000
10.17900048,-170.80600000
10.18000048,-174.38890000
10.18100048,-170.80600000
10.18200048,-174.38890000
10.18300048,-172.60050000
10.18400048,-170.80600000
10.18500048,-174.38890000
10.18600048,-170.80600000
10.18700048,-174.38890000
10.18800048,-169.01150000
10.18900048,-170.80600000
10.19000048,-170.80600000
10.19100048,-172.60050000
10.19200048,-170.80600000
10.19300048,-174.38890000
10.19400048,-170.80600000
10.19500048,-169.01150000
10.19600048,-170.80600000
10.19700048,-170.80600000
10.19800048,-170.80600000
10.19900048,-170.80600000
10.20000048,-170.80600000
10.20100048,-170.80600000
10.20200048,-174.38890000
10.20300048,-172.60050000
10.20400048,-169.01150000
10.20500048,-169.01150000
10.20600048,-172.60050000
10.20700048,-172.60050000
10.20800048,-174.38890000
10.20900048,-170.80600000
10.21000048,-170.80600000
10.21100048,-170.80600000
10.21200049,-172.60050000
10.21300049,-172.60050000
10.21400049,-170.80600000
10.21500049,-170.80600000
10.21600049,-170.80600000
10.21700049,-172.60050000
10.21800049,-169.01150000
10.21900049,-170.80600000
10.22000049,-170.80600000
10.22100049,-169.01150000
10.22200049,-172.60050000
10.22300049,-172.60050000
10.22400049,-169.01150000
10.22500049,-169.01150000
10.22600049,-172.60050000
10.22700049,-170.80600000
10.22800049,-170.80600000
10.22900049,-170.80600000
10.23000049,-172.60050000
10.23100049,-174.38890000
10.23200049,-172.60050000
10.23300049,-170.80600000
10.23400049,-172.60050000
10.23500049,-170.80600000
10.23600049,-172.60050000
10.23700049,-172.60050000
10.23800049,-174.38890000
10.23900049,-170.80600000
10.24000049,-172.60050000
10.24100049,-174.38890000
10.24200049,-174.38890000
10.24300049,-169.01150000
10.24400049,-170.80600000
10.24500049,-169.01150000
10.24600049,-172.60050000
10.24700049,-170.80600000
10.24800049,-174.38890000
10.24900049,-169.01150000
10.25000049,-170.80600000
10.25100049,-169.01150000
10.25200049,-170.80600000
10.25300049,-169.01150000
10.25400049,-170.80600000
10.25500049,-172.60050000
10.25600049,-170.80600000
10.25700049,-170.80600000
10.25800049,-170.80600000
10.25900049,-170.80600000
10.26000049,-172.60050000
10.26100049,-170.80600000
10.26200049,-170.80600000
10.26300049,-169.01150000
10.26400049,-170.80600000
10.26500049,-170.80600000
10.26600049,-170.80600000
10.26700049,-170.80600000
10.26800049,-172.60050000
10.26900049,-172.60050000
10.27000049,-169.01150000
10.27100049,-172.60050000
10.27200049,-172.60050000
10.27300049,-172.60050000
10.27400049,-169.01150000
10.27500049,-172.60050000
10.27600049,-174.38890000
10.27700049,-172.60050000
10.27800049,-174.38890000
10.27900049,-170.80600000
10.28000049,-174.38890000
10.28100049,-172.60050000
10.28200049,-170.80600000
10.28300049,-172.60050000
10.28400049,-170.80600000
10.28500049,-172.60050000
10.28600049,-170.80600000
10.28700049,-170.80600000
10.28800049,-170.80600000
10.28900049,-172.60050000
10.29000049,-169.01150000
10.29100049,-174.38890000
10.29200049,-169.01150000
10.29300049,-174.38890000
10.29400049,-172.60050000
10.29500049,-170.80600000
10.29600049,-170.80600000
10.29700049,-170.80600000
10.29800049,-174.38890000
10.29900049,-172.60050000
10.30000049,-169.01150000
10.30100049,-170.80600000
10.30200049,-172.60050000
10.30300049,-172.60050000
10.30400049,-172.60050000
10.30500049,-170.80600000
10.30600049,-174.38890000
10.30700049,-170.80600000
10.30800049,-170.80600000
10.30900049,-170.80600000
10.31000049,-169.01150000
10.31100049,-170.80600000
10.31200049,-170.80600000
10.31300049,-170.80600000
10.31400049,-169.01150000
10.31500049,-170.80600000
10.31600049,-174.38890000
10.31700049,-170.80600000
10.31800049,-172.60050000
10.31900049,-170.80600000
10.32000049,-169.01150000
10.32100049,-172.60050000
10.32200049,-170.80600000
10.32300049,-169.01150000
10.32400049,-170.80600000
10.32500049,-170.80600000
10.32600049,-170.80600000
10.32700049,-170.80600000
10.32800049,-170.80600000
10.32900049,-170.80600000
10.33000049,-170.80600000
10.33100049,-170.80600000
10.33200049,-174.38890000
10.33300049,-170.80600000
10.33400049,-169.01150000
10.33500049,-172.60050000
10.33600049,-170.80600000
10.33700049,-170.80600000
10.33800049,-170.80600000
10.33900049,-172.60050000
10.34000049,-170.80600000
10.34100049,-172.60050000
10.34200049,-172.60050000
10.34300049,-172.60050000
10.34400049,-169.01150000
10.34500049,-170.80600000
10.34600049,-170.80600000
10.34700049,-170.80600000
10.34800049,-170.80600000
10.34900049,-169.01150000
10.35000049,-169.01150000
10.35100049,-170.80600000
10.35200049,-169.01150000
10.35300049,-170.80600000
10.35400049,-169.01150000
10.35500049,-169.01150000
10.35600049,-170.80600000
10.35700049,-172.60050000
10.35800049,-167.22310000
10.35900049,-169.01150000
10.36000049,-169.01150000
10.36100049,-170.80600000
10.36200049,-170.80600000
10.36300049,-172.60050000
10.36400049,-169.01150000
10.36500049,-169.01150000
10.36600049,-172.60050000
10.36700049,-170.80600000
10.36800049,-169.01150000
10.36900049,-167.22310000
10.37000049,-170.80600000
10.37100049,-169.01150000
10.37200049,-174.38890000
10.37300049,-170.80600000
10.37400049,-170.80600000
10.37500049,-170.80600000
10.37600049,-170.80600000
10.37700049,-172.60050000
10.37800049,-172.60050000
10.37900049,-169.01150000
10.38000049,-169.01150000
10.38100049,-170.80600000
10.38200049,-172.60050000
10.38300049,-172.60050000
10.38400049,-172.60050000
10.38500049,-169.01150000
10.38600049,-169.01150000
10.38700049,-170.80600000
10.38800049,-174.38890000
10.38900049,-170.80600000
10.39000049,-169.01150000
10.39100049,-169.01150000
10.39200049,-170.80600000
10.39300049,-174.38890000
10.39400049,-170.80600000
10.39500049,-172.60050000
10.39600049,-169.01150000
10.39700049,-169.01150000
10.39800049,-170.80600000
10.39900049,-172.60050000
10.40000049,-170.80600000
10.40100049,-169.01150000
10.40200049,-169.01150000
10.40300049,-172.60050000
10.40400049,-172.60050000
10.40500049,-169.01150000
10.40600049,-169.01150000
10.40700049,-170.80600000
10.40800049,-170.80600000
10.40900049,-169.01150000
10.41000049,-170.80600000
10.41100049,-172.60050000
10.41200049,-170.80600000
10.41300049,-170.80600000
10.41400049,-170.80600000
10.41500049,-174.38890000
10.41600049,-172.60050000
10.41700049,-172.60050000
