Time,V_T
41.23200196,1.358074
41.23300196,1.358074
41.23400196,0.4531998
41.23500196,0.00152593
41.23600196,0.9048738
41.23700196,0.9048738
41.23800196,-0.4516739
41.23900196,0.9048738
41.24000196,0.4531998
41.24100196,-0.4516739
41.24200196,0.9048738
41.24300196,0.4531998
41.24400196,-0.4516739
41.24500196,0.00152593
41.24600196,0.00152593
41.24700196,-0.4516739
41.24800196,-0.4516739
41.24900196,0.9048738
41.25000196,-0.4516739
41.25100196,-0.9048738
41.25200196,0.9048738
41.25300196,0.9048738
41.25400196,0.00152593
41.25500196,0.9048738
41.25600196,-0.4516739
41.25700196,-0.4516739
41.25800196,0.4531998
41.25900196,1.358074
41.26000196,0.00152593
41.26100196,0.00152593
41.26200196,0.9048738
41.26300196,0.4531998
41.26400196,0.00152593
41.26500196,-0.4516739
41.26600196,0.4531998
41.26700196,0.00152593
41.26800196,0.4531998
41.26900196,0.00152593
41.27000196,-0.4516739
41.27100196,0.4531998
41.27200196,0.9048738
41.27300196,0.00152593
41.27400196,-0.4516739
41.27500196,-0.4516739
41.27600196,0.4531998
41.27700196,0.00152593
41.27800196,0.00152593
41.27900196,0.00152593
41.28000196,0.9048738
41.28100196,0.9048738
41.28200196,-0.4516739
41.28300196,0.9048738
41.28400196,-0.4516739
41.28500196,0.9048738
41.28600196,0.4531998
41.28700196,0.4531998
41.28800196,0.00152593
41.28900196,-0.4516739
41.29000196,0.4531998
41.29100196,0.9048738
41.29200196,0.4531998
41.29300196,0.9048738
41.29400196,0.00152593
41.29500196,0.4531998
41.29600196,-0.4516739
41.29700196,0.4531998
41.29800196,0.00152593
41.29900196,-0.4516739
41.30000196,1.358074
41.30100196,0.00152593
41.30200196,0.4531998
41.30300196,0.4531998
41.30400196,0.9048738
41.30500196,0.4531998
41.30600196,0.4531998
41.30700196,0.9048738
41.30800196,0.4531998
41.30900196,0.9048738
41.31000196,0.4531998
41.31100196,0.4531998
41.31200196,0.4531998
41.31300196,0.4531998
41.31400196,-0.4516739
41.31500196,0.4531998
41.31600196,-0.4516739
41.31700196,-0.4516739
41.31800196,-0.4516739
41.31900196,0.00152593
41.32000196,0.4531998
41.32100196,-0.9048738
41.32200196,-0.9048738
41.32300196,0.9048738
41.32400196,0.4531998
41.32500196,0.9048738
41.32600196,0.9048738
41.32700196,-0.4516739
41.32800196,0.4531998
41.32900196,0.00152593
41.33000196,0.4531998
41.33100196,-0.4516739
41.33200196,-0.4516739
41.33300196,-0.9048738
41.33400196,0.4531998
41.33500196,-1.358074
41.33600196,0.00152593
41.33700196,0.9048738
41.33800196,0.4531998
41.33900196,-0.9048738
41.34000196,0.9048738
41.34100196,-0.4516739
41.34200196,0.00152593
41.34300196,-0.4516739
41.34400196,0.00152593
41.34500196,0.00152593
41.34600196,-0.4516739
41.34700196,-0.4516739
41.34800196,0.4531998
41.34900196,0.4531998
41.35000196,0.4531998
41.35100196,0.9048738
41.35200196,0.4531998
41.35300196,0.9048738
41.35400196,0.4531998
41.35500196,0.9048738
41.35600196,0.4531998
41.35700196,0.00152593
41.35800196,0.00152593
41.35900196,0.00152593
41.36000196,0.4531998
41.36100196,2.264473
41.36200196,-0.4516739
41.36300196,-0.9048738
41.36400196,0.00152593
41.36500196,-0.4516739
41.36600196,1.358074
41.36700196,-0.4516739
41.36800196,0.9048738
41.36900196,0.4531998
41.37000196,0.4531998
41.37100197,1.811274
41.37200197,-0.4516739
41.37300197,0.00152593
41.37400197,0.00152593
41.37500197,0.00152593
41.37600197,0.9048738
41.37700197,0.9048738
41.37800197,0.00152593
41.37900197,-0.4516739
41.38000197,0.4531998
41.38100197,0.4531998
41.38200197,0.4531998
41.38300197,-0.9048738
41.38400197,0.4531998
41.38500197,0.00152593
41.38600197,0.00152593
41.38700197,0.9048738
41.38800197,-0.4516739
41.38900197,0.00152593
41.39000197,0.4531998
41.39100197,0.4531998
41.39200197,0.00152593
41.39300197,0.4531998
41.39400197,0.00152593
41.39500197,-0.4516739
41.39600197,0.9048738
41.39700197,-0.4516739
41.39800197,-0.9048738
41.39900197,1.811274
41.40000197,0.9048738
41.40100197,-0.4516739
41.40200197,0.9048738
41.40300197,-0.4516739
41.40400197,-0.4516739
41.40500197,-0.4516739
41.40600197,-0.9048738
41.40700197,0.00152593
41.40800197,0.4531998
41.40900197,0.4531998
41.41000197,-0.4516739
41.41100197,0.00152593
41.41200197,0.4531998
41.41300197,0.00152593
41.41400197,-0.4516739
41.41500197,0.9048738
41.41600197,-0.4516739
41.41700197,-0.4516739
41.41800197,0.9048738
41.41900197,0.4531998
41.42000197,0.4531998
41.42100197,0.00152593
41.42200197,0.00152593
41.42300197,0.9048738
41.42400197,0.4531998
41.42500197,-1.358074
41.42600197,0.00152593
41.42700197,0.4531998
